100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        29920.82          ---          ---        15.18377        14.97500        27.26300        32.12700     32155.24 
Gets         2991.80      2849.78       142.02        15.17793        14.97500        26.49500        32.12700      3058.04 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      32912.62      2849.78       142.02        15.18324        14.97500        27.13500        32.12700     35213.28 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.119        0.000
SET      13.695        5.000
SET      13.951       10.000
SET      14.143       15.000
SET      14.335       20.000
SET      14.463       25.000
SET      14.591       30.000
SET      14.655       35.000
SET      14.783       40.000
SET      14.911       45.000
SET      14.975       50.000
SET      15.039       52.500
SET      15.103       55.000
SET      15.167       57.500
SET      15.231       60.000
SET      15.231       62.500
SET      15.295       65.000
SET      15.359       67.500
SET      15.423       70.000
SET      15.487       72.500
SET      15.615       75.000
SET      15.615       76.250
SET      15.679       77.500
SET      15.743       78.750
SET      15.743       80.000
SET      15.807       81.250
SET      15.871       82.500
SET      15.935       83.750
SET      15.999       85.000
SET      16.063       86.250
SET      16.127       87.500
SET      16.127       88.125
SET      16.191       88.750
SET      16.255       89.375
SET      16.255       90.000
SET      16.319       90.625
SET      16.383       91.250
SET      16.383       91.875
SET      16.511       92.500
SET      16.511       93.125
SET      16.639       93.750
SET      16.639       94.062
SET      16.639       94.375
SET      16.639       94.688
SET      16.767       95.000
SET      16.767       95.312
SET      16.767       95.625
SET      16.895       95.938
SET      16.895       96.250
SET      16.895       96.562
SET      17.023       96.875
SET      17.023       97.031
SET      17.151       97.188
SET      17.151       97.344
SET      17.151       97.500
SET      17.279       97.656
SET      17.535       97.812
SET      17.919       97.969
SET      18.431       98.125
SET      19.199       98.281
SET      19.967       98.438
SET      20.479       98.516
SET      20.991       98.594
SET      21.503       98.672
SET      22.271       98.750
SET      23.167       98.828
SET      24.703       98.906
SET      27.007       98.984
SET      27.903       99.062
SET      28.671       99.141
SET      29.055       99.219
SET      29.183       99.258
SET      29.311       99.297
SET      29.311       99.336
SET      29.439       99.375
SET      29.567       99.414
SET      29.695       99.453
SET      29.823       99.492
SET      29.823       99.531
SET      29.951       99.570
SET      30.079       99.609
SET      30.207       99.629
SET      30.207       99.648
SET      30.335       99.668
SET      30.335       99.688
SET      30.463       99.707
SET      30.591       99.727
SET      30.847       99.746
SET      30.975       99.766
SET      31.231       99.785
SET      31.487       99.805
SET      31.487       99.814
SET      31.615       99.824
SET      31.743       99.834
SET      31.743       99.844
SET      31.871       99.854
SET      31.871       99.863
SET      31.999       99.873
SET      31.999       99.883
SET      32.127       99.893
SET      32.127       99.902
SET      32.255       99.907
SET      32.255       99.912
SET      32.255       99.917
SET      32.255       99.922
SET      32.383       99.927
SET      32.383       99.932
SET      32.383       99.937
SET      32.511       99.941
SET      32.511       99.946
SET      32.511       99.951
SET      32.639       99.954
SET      32.639       99.956
SET      32.639       99.958
SET      32.639       99.961
SET      32.767       99.963
SET      32.767       99.966
SET      32.767       99.968
SET      33.023       99.971
SET      33.023       99.973
SET      33.023       99.976
SET      33.023       99.977
SET      33.023       99.978
SET      33.023       99.979
SET      33.279       99.980
SET      33.279       99.982
SET      33.279       99.983
SET      33.535       99.984
SET      33.535       99.985
SET      33.791       99.987
SET      34.047       99.988
SET      34.047       99.988
SET      34.303       99.989
SET      34.303       99.990
SET      34.559       99.990
SET      34.815       99.991
SET      34.815       99.991
SET      35.071       99.992
SET      35.327       99.993
SET      35.583       99.993
SET      35.583       99.994
SET      35.839       99.994
SET      35.839       99.995
SET      36.095       99.995
SET      36.095       99.995
SET      36.351       99.995
SET      36.607       99.996
SET      36.607       99.996
SET      36.863       99.996
SET      37.119       99.997
SET      37.119       99.997
SET      37.375       99.997
SET      37.375       99.997
SET      37.375       99.997
SET      37.631       99.998
SET      37.631       99.998
SET      37.887       99.998
SET      37.887       99.998
SET      38.143       99.998
SET      38.143       99.998
SET      38.399       99.998
SET      38.399       99.999
SET      38.399       99.999
SET      38.655       99.999
SET      38.655       99.999
SET      38.911       99.999
SET      38.911       99.999
SET      39.167       99.999
SET      39.167       99.999
SET      39.423       99.999
SET      39.423       99.999
SET      39.423       99.999
SET      39.423       99.999
SET      39.679       99.999
SET      39.679       99.999
SET      39.679       99.999
SET      39.935       99.999
SET      39.935      100.000
SET      40.191      100.000
SET      40.191      100.000
SET      40.447      100.000
SET      40.447      100.000
SET      40.447      100.000
SET      40.447      100.000
SET      40.703      100.000
SET      40.959      100.000
