100       Threads
5         Connections per thread
900       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         8082.16          ---          ---        12.37136        12.09500        17.91900        26.87900      8660.20 
Gets        32326.46     32326.46         0.00        12.36587        12.09500        17.27900        26.87900     34498.69 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      40408.63     32326.46         0.00        12.36697        12.09500        17.40700        26.87900     43158.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.199        0.000
SET      11.135        5.000
SET      11.263       10.000
SET      11.391       15.000
SET      11.519       20.000
SET      11.647       25.000
SET      11.711       30.000
SET      11.839       35.000
SET      11.903       40.000
SET      12.031       45.000
SET      12.095       50.000
SET      12.159       52.500
SET      12.223       55.000
SET      12.287       57.500
SET      12.351       60.000
SET      12.479       62.500
SET      12.543       65.000
SET      12.607       67.500
SET      12.735       70.000
SET      12.799       72.500
SET      12.927       75.000
SET      12.927       76.250
SET      12.991       77.500
SET      13.055       78.750
SET      13.119       80.000
SET      13.183       81.250
SET      13.183       82.500
SET      13.247       83.750
SET      13.311       85.000
SET      13.375       86.250
SET      13.439       87.500
SET      13.503       88.125
SET      13.503       88.750
SET      13.567       89.375
SET      13.567       90.000
SET      13.631       90.625
SET      13.695       91.250
SET      13.695       91.875
SET      13.759       92.500
SET      13.823       93.125
SET      13.887       93.750
SET      13.887       94.062
SET      13.887       94.375
SET      13.951       94.688
SET      13.951       95.000
SET      14.015       95.312
SET      14.015       95.625
SET      14.079       95.938
SET      14.143       96.250
SET      14.143       96.562
SET      14.207       96.875
SET      14.271       97.031
SET      14.271       97.188
SET      14.335       97.344
SET      14.335       97.500
SET      14.399       97.656
SET      14.463       97.812
SET      14.527       97.969
SET      14.591       98.125
SET      14.783       98.281
SET      14.975       98.438
SET      15.167       98.516
SET      15.359       98.594
SET      15.615       98.672
SET      15.935       98.750
SET      16.319       98.828
SET      16.895       98.906
SET      17.663       98.984
SET      19.071       99.062
SET      22.271       99.141
SET      22.655       99.219
SET      22.911       99.258
SET      23.167       99.297
SET      23.295       99.336
SET      23.551       99.375
SET      23.679       99.414
SET      23.807       99.453
SET      23.935       99.492
SET      24.191       99.531
SET      24.319       99.570
SET      24.575       99.609
SET      24.703       99.629
SET      24.831       99.648
SET      24.959       99.668
SET      25.087       99.688
SET      25.215       99.707
SET      25.343       99.727
SET      25.599       99.746
SET      25.727       99.766
SET      25.727       99.785
SET      25.983       99.805
SET      25.983       99.814
SET      26.111       99.824
SET      26.239       99.834
SET      26.239       99.844
SET      26.367       99.854
SET      26.495       99.863
SET      26.623       99.873
SET      26.751       99.883
SET      26.879       99.893
SET      26.879       99.902
SET      27.007       99.907
SET      27.007       99.912
SET      27.007       99.917
SET      27.135       99.922
SET      27.135       99.927
SET      27.263       99.932
SET      27.263       99.937
SET      27.263       99.941
SET      27.391       99.946
SET      27.391       99.951
SET      27.391       99.954
SET      27.519       99.956
SET      27.519       99.958
SET      27.519       99.961
SET      27.519       99.963
SET      27.647       99.966
SET      27.647       99.968
SET      27.647       99.971
SET      27.775       99.973
SET      27.775       99.976
SET      27.775       99.977
SET      27.903       99.978
SET      27.903       99.979
SET      27.903       99.980
SET      27.903       99.982
SET      28.031       99.983
SET      28.031       99.984
SET      28.031       99.985
SET      28.159       99.987
SET      28.159       99.988
SET      28.287       99.988
SET      28.287       99.989
SET      28.287       99.990
SET      28.415       99.990
SET      28.415       99.991
SET      28.543       99.991
SET      28.543       99.992
SET      28.671       99.993
SET      28.799       99.993
SET      28.927       99.994
SET      29.055       99.994
SET      29.055       99.995
SET      29.183       99.995
SET      29.183       99.995
SET      29.311       99.995
SET      29.439       99.996
SET      29.567       99.996
SET      29.695       99.996
SET      29.823       99.997
SET      29.951       99.997
SET      30.079       99.997
SET      30.079       99.997
SET      30.207       99.997
SET      30.207       99.998
SET      30.335       99.998
SET      30.591       99.998
SET      30.719       99.998
SET      30.719       99.998
SET      30.847       99.998
SET      31.103       99.998
SET      31.231       99.999
SET      31.231       99.999
SET      31.231       99.999
SET      31.359       99.999
SET      31.487       99.999
SET      31.487       99.999
SET      31.615       99.999
SET      31.743       99.999
SET      31.871       99.999
SET      31.999       99.999
SET      31.999       99.999
SET      32.127       99.999
SET      32.127       99.999
SET      32.255       99.999
SET      32.383       99.999
SET      32.383       99.999
SET      32.511      100.000
SET      32.767      100.000
SET      32.767      100.000
SET      33.023      100.000
SET      33.023      100.000
SET      33.023      100.000
SET      33.023      100.000
SET      33.023      100.000
SET      33.279      100.000
SET      33.279      100.000
SET      33.279      100.000
SET      33.535      100.000
SET      33.791      100.000
SET      34.303      100.000
SET      34.303      100.000
SET      34.303      100.000
SET      34.303      100.000
SET      34.303      100.000
SET      34.303      100.000
SET      34.559      100.000
SET      34.559      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      35.071      100.000
SET      35.071      100.000
SET      35.071      100.000
SET      35.583      100.000
SET      35.583      100.000
SET      35.583      100.000
SET      36.863      100.000
SET      36.863      100.000
